热销排名,商品信息,所属店铺,支付子订单数,支付件数,支付转化率指数,店铺链接,日期：20170726,日期：20170727,日期：20170728,日期：20170729,日期：20170730,日期：20170731,日期：20170801,日期：20170802,日期：20170803,日期：20170804,日期：20170805,日期：20170806,日期：20170807,日期：20170808
241,高腰牛仔裤女九分裤夏季薄款2017新款显瘦小脚长裤胖mm大码铅笔裤价格：168,尚大优品,66,66,21,//shop314615714.taobao.com,41,40,40,49,59,49,77,76,74,46,62,54,42,66
242,高腰弹力九分牛仔裤女秋夏季新款韩版学生修身显瘦小脚铅笔长裤子价格：74,第四十九天 49t,65,65,20,//shop136501012.taobao.com,,,,,,,50,57,52,60,58,84,76,65
243,牛仔七分裤女夏2017新款 薄款高腰松紧腰显瘦大码胖mm中裤五分裤价格：139,琳宛旗舰店,65,65,18,//linwan.tmall.com,82,88,88,86,98,88,80,92,96,88,56,80,83,65
244,2017夏季新款白色破洞牛仔女修身显瘦弹力紧身休闲大码外穿短裤子价格：89,妙曼伊菲儿,65,66,21,//shop128354197.taobao.com,205,191,191,154,154,155,178,161,139,98,108,115,74,65
245,尚驭牛仔裤女铅笔裤2017秋季新款弹力修身显瘦破洞紧身小脚裤长裤价格：328,尚驭服饰旗舰店,65,65,15,//whshangyu.tmall.com,52,62,62,70,67,67,71,72,68,57,64,49,63,65
246,高腰流苏牛仔裤女九分裤秋装春夏季2017新款韩版百搭显瘦小脚长裤价格：118,心计划旗舰店,65,65,13,//xinjihua.tmall.com,52,37,37,49,36,63,43,52,45,51,57,76,66,65
247,买一送一高腰牛仔短裤女2017新款春季韩版显瘦百搭学生超短裤女夏价格：79,皇朝御纺旗舰店,64,64,31,//huangchaoyufang.tmall.com,340,252,252,381,403,346,425,358,389,319,288,137,107,64
248,买一送一  秋季新品高腰弹力小脚裤价格：99,斯酷服饰,64,64,19,//shop144773796.taobao.com,,,,,,,,,,,,,,64
249,韩版女装包脚拉毛破洞水洗牛仔裤女修身显瘦紧身铅笔裤九分裤子潮价格：29.9,月牙城,64,64,16,//yueyacheng.taobao.com,44,31,31,35,40,39,44,68,50,65,65,63,71,64
250,牛仔裤女七分裤夏季韩版显瘦7分裤薄款中裤大码热裤2017新款女裤价格：198,娇宣尼旗舰店,63,63,21,//jiaoxuanni.tmall.com,82,83,83,41,28,49,42,45,36,31,42,63,70,63
251,俞兆林高腰牛仔七分裤女夏新款小脚铅笔裤薄7分牛仔裤女中裤潮价格：118,曼岛服饰专营店,63,64,38,//mandaofs.tmall.com,35,42,42,32,10,35,15,41,42,25,42,41,39,63
252,2017新款松紧腰牛仔短裤女夏韩版高腰薄款毛边热裤修身显瘦翻边裤价格：258,艾酷佳人女装品牌店,63,66,40,//ak788.taobao.com,212,189,189,174,211,186,127,139,131,93,87,100,62,63
253,2017韩版新款高腰修身显瘦弹力小脚裤九分裤毛边铅笔女秋季牛仔裤价格：298,玥兒莎,63,64,21,//weibo99.taobao.com,,,,,,,,36,,,30,45,55,63
