热销排名,商品信息,所属店铺,支付子订单数,交易增长幅度,支付转化率指数,日期：20170620,日期：20170621,日期：20170622,日期：20170623,日期：20170624,日期：20170625,日期：20170626
132,ZC 自留！怒推大显腿长无需ps的牛仔短裤高腰毛边阔腿裤女价格：59,ZC[紫川家族],328,58.8068,187,,4,,,,,132
133,牛仔短裤女夏季2017新款韩版宽松高腰超短牛仔裤显瘦阔腿毛边热裤价格：79,FJW Awen定制女装,325,0.1013,117,246,125,118,124,148,169,133
134,韩版2017新款磨破洞不规则修身显瘦热裤高腰毛边流苏牛仔短裤女夏价格：169,衣艺社日韩女装,324,0.2566,124,345,215,175,254,219,207,134
135,高腰牛仔短裤女夏季学生黑色毛边短裤韩版宽松超短裤大码aa热裤潮价格：60,优裤米折折扣店,320,0.2078,190,,,261,180,,194,135
136,高腰牛仔短裤女夏季学生白色破洞毛边韩版宽松超短裤大码阔腿热裤价格：139,凸傲旗舰店,319,-0.1768,173,232,110,128,115,131,112,136
137,2017春夏季新款韩版浅色破洞牛仔裤女高腰宽松显瘦九分裤哈伦裤子价格：168,巩迪旗舰店,316,-0.1198,179,155,100,103,131,116,125,137
138,夏季高腰牛仔短裤女 宽松卷边牛仔短裤mm大码显瘦a字阔腿热裤学生价格：99,seven77 小柒牛仔,315,-0.1705,198,214,113,159,141,127,122,138
139,2017春夏季新款潮破洞牛仔短裤女裤韩版显瘦高腰宽松学生阔腿热裤价格：59,宜情旗舰店,314,-0.0387,126,204,139,124,134,141,154,139
140,小番茄定制裙裤女夏季时尚2017新款显瘦牛仔短裤韩版宽松小热裤价格：109,小番茄 定制,312,-0.0614,88,398,199,215,207,159,140,140
141,薄款牛仔裤女高腰七分裤弹力小脚裤大码松紧腰铅笔裤休闲哈伦中裤价格：198,欧晓女裤官方店,311,0.0605,167,291,138,185,181,146,173,141
142,破洞牛仔短裤女高腰宽松2017夏新款韩版显瘦流苏毛边学生阔腿热裤价格：120,可奈丽莎旗舰店,306,0.0887,126,44,210,262,192,186,180,142
143,高腰破洞牛仔短裤女夏宽松学生牛仔裤ulzzang超短裤chic短裤女夏价格：35,RPIN瑞品韩版日系女装,304,0.2361,146,194,151,171,235,199,223,143
144,2017新款韩版夏季开叉毛边高腰牛仔短裤女宽松假两件裙裤薄款热裤价格：93.75,小鹿要飞 杨雅熙定制,303,0.0551,95,466,234,235,274,198,182,144
145,2017夏季薄款高腰牛仔裤女学生百搭长裤新款修身弹力小脚牛仔裤女价格：94,U闺蜜小栈,303,-0.2864,199,457,216,193,178,147,101,145
146,牛仔热裤春夏季2017新款学生显瘦韩版高腰宽松阔腿女士白色超短裤价格：55,雅羊人旗舰店,303,-0.1017,205,234,129,160,205,163,136,146
147,高腰牛仔短裤女夏装胖mm宽松200斤加肥加大码显瘦阔腿破洞a字热裤价格：99,胖MM大购物,302,0.5726,211,,,,,374,330,147
148,高腰牛仔短裤女夏破洞宽松韩版显瘦学生卷边阔腿牛仔裤热裤超短裤价格：138,米阁娜服饰旗舰店,300,-0.1654,130,4,123,170,174,123,127,148
149,韩都衣舍韩版2017女装夏季新款超短裤显瘦毛边白色牛仔短裤GS6520价格：188,韩都衣舍旗舰店,299,-0.1493,157,55,,,,,131,149
150,牛仔短裤女夏季2017新款韩版薄百搭学生显瘦阔腿宽松短裤女热裤潮价格：88,尚琛旗舰店,298,0.0758,177,310,192,151,158,203,183,150
151,韩版胖MM高腰松紧破洞牛仔短裤女夏宽松大码学生阔腿休闲百搭热裤价格：198,伊牛官方企业店,297,0.0597,190,242,136,162,138,171,178,151
152,夏季韩版女装侧面条纹毛边牛仔短裤高腰宽松阔腿裤显瘦学生热裤子价格：32,依人潮流女装优质低价,294,-0.1036,183,212,137,144,144,179,146,152
153,破洞牛仔裤女春夏季2017新款韩版显瘦九分裤瘦腿裤女外穿铅笔裤潮价格：98,爱惹美官方店,294,0.5283,149,,239,380,,,327,153
154,夏装新款女装韩版chic修身显瘦单排高腰不规则裙裤短裤牛仔裤学生价格：26.8,麻辣小黑粉,294,12.913,110,,,,,,,154
155,牛仔短裤女夏2017新款韩版修身显瘦破洞宽松高腰黑色春夏季牛仔裤价格：128,芮丽娅旗舰店,293,-0.0971,155,146,95,113,142,120,141,155
156,17新款高腰牛仔短裤女夏宽松显瘦阔腿裤大码学生毛边排扣a字热裤价格：159,优百莉旗舰店,292,-0.1041,195,293,156,99,89,96,142,156
157,韩版破洞显瘦时尚宽松牛仔背带短裤女夏季学生百搭连体吊带热裤潮价格：99.8,欣宜女装行,291,0.0502,195,332,142,200,165,164,184,157
